This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
  772.00     7.3 H LY(C)
  773.00     7.5 H LY(C)
  774.00     7.7 H LY(C)
  775.00     7.8 H LY(C)
  776.00    11.0 N II
  776.00     8.0 H LY(C)
  777.00     8.3 H LY(C)
  778.00     8.5 H LY(C)
  779.00     8.7 H LY(C)
  780.00     8.9 H LY(C)
  780.30   220.0BLEND( )
  781.00     9.1 H LY(C)
  782.00     9.4 H LY(C)
  783.00     9.6 H LY(C)
  784.00     9.9 H LY(C)
  785.00    10.1 H LY(C)
  786.00    10.3 H LY(C)
  786.48   100.0 S V
  787.00    10.7 H LY(C)
  787.71   200.0 O IV
  788.00    10.9 H LY(C)
  789.00    11.2 H LY(C)
  790.00    11.4 H LY(C)
  790.21   370.0 O IV
  791.00    11.8 H LY(C)
  792.00    12.1 H LY(C)
  793.00    12.3 H LY(C)
  794.00    12.7 H LY(C)
  795.00    13.0 H LY(C)
  796.00    13.3 H LY(C)
  797.00    13.6 H LY(C)
  798.00    14.1 H LY(C)
  799.00    14.4 H LY(C)
  800.00    14.7 H LY(C)
  801.00    15.2 H LY(C)
  802.00    15.5 H LY(C)
  803.00    16.0 H LY(C)
  804.00    16.4 H LY(C)
  805.00    16.7 H LY(C)
  806.00    17.2 H LY(C)
  807.00    17.6 H LY(C)
  808.00    18.0 H LY(C)
  809.00    18.5 H LY(C)
  810.00    19.0 H LY(C)
  811.00    19.5 H LY(C)
  812.00    20.0 H LY(C)
  813.00    20.5 H LY(C)
  814.00    21.0 H LY(C)
  815.00    21.6 H LY(C)
  816.00    22.1 H LY(C)
  817.00    22.7 H LY(C)
  818.00    23.2 H LY(C)
  819.00    23.9 H LY(C)
  820.00    24.4 H LY(C)
  821.00    25.1 H LY(C)
  822.00    25.7 H LY(C)
  823.00    26.4 H LY(C)
  824.00    27.1 H LY(C)
  825.00    27.7 H LY(C)
  826.00    28.5 H LY(C)
  827.00    29.2 H LY(C)
  828.00    29.9 H LY(C)
  829.00    30.7 H LY(C)
  830.00    31.5 H LY(C)
  831.00    32.2 H LY(C)
  832.00    33.1 H LY(C)
  833.00    34.0 H LY(C)
  834.00    34.8 H LY(C)
  834.20   630.0BLEND(2)
  835.00    35.8 H LY(C)
  836.00    36.6 H LY(C)
  837.00    37.5 H LY(C)
  838.00    38.5 H LY(C)
  839.00    39.5 H LY(C)
  840.00    40.5 H LY(C)
  841.00    41.6 H LY(C)
  842.00    42.6 H LY(C)
  843.00    43.7 H LY(C)
  844.00    44.8 H LY(C)
  845.00    46.0 H LY(C)
  846.00    47.1 H LY(C)
  847.00    48.3 H LY(C)
  848.00    49.5 H LY(C)
  849.00    50.8 H LY(C)
  850.00    52.1 H LY(C)
  851.00    53.5 H LY(C)
  852.00    54.8 H LY(C)
  853.00    56.2 H LY(C)
  854.00    57.6 H LY(C)
  855.00    59.1 H LY(C)
  856.00    60.6 H LY(C)
  857.00    62.2 H LY(C)
  858.00    63.7 H LY(C)
  859.00    65.3 H LY(C)
  860.00    67.0 H LY(C)
  861.00    68.8 H LY(C)
  862.00    70.5 H LY(C)
  863.00    72.3 H LY(C)
  864.00    74.1 H LY(C)
  865.00    76.0 H LY(C)
  866.00    77.9 H LY(C)
  867.00    79.9 H LY(C)
  868.00    81.9 H LY(C)
  869.00    84.0 H LY(C)
  870.00    86.1 H LY(C)
  871.00    88.3 H LY(C)
  872.00    90.6 H LY(C)
  873.00    93.0 H LY(C)
  874.00    95.3 H LY(C)
  875.00    97.7 H LY(C)
  876.00   100.2 H LY(C)
  877.00   102.7 H LY(C)
  878.00   105.4 H LY(C)
  879.00   108.0 H LY(C)
  880.00   110.8 H LY(C)
  881.00   113.6 H LY(C)
  882.00   116.5 H LY(C)
  883.00   119.5 H LY(C)
  884.00   122.5 H LY(C)
  885.00   125.6 H LY(C)
  886.00   128.8 H LY(C)
  887.00   132.1 H LY(C)
  888.00   135.5 H LY(C)
  889.00   138.9 H LY(C)
  890.00   142.5 H LY(C)
  891.00   146.1 H LY(C)
  892.00   149.8 H LY(C)
  893.00   153.6 H LY(C)
  894.00   157.5 H LY(C)
  895.00   161.5 H LY(C)
  896.00   165.7 H LY(C)
  897.00   169.8 H LY(C)
  898.00   174.1 H LY(C)
  899.00   178.5 H LY(C)
  900.00   183.2 H LY(C)
  901.00   187.8 H LY(C)
  902.00   192.6 H LY(C)
  903.00   197.5 H LY(C)
  904.00   202.5 H LY(C)
