This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
 1792.00  7889.4QUASI(C)
 1793.00  7951.2QUASI(C)
 1794.00  8013.5QUASI(C)
 1795.00  8076.3QUASI(C)
 1796.00  8139.6QUASI(C)
 1797.00  8203.4QUASI(C)
 1798.00  8267.6QUASI(C)
 1799.00  8332.4QUASI(C)
 1800.00  8397.7QUASI(C)
 1801.00  8463.5QUASI(C)
 1802.00  8529.8QUASI(C)
 1803.00  8596.6QUASI(C)
 1804.00  8664.0QUASI(C)
 1805.00  8731.8QUASI(C)
 1806.00  8800.3QUASI(C)
 1807.00  8869.2QUASI(C)
 1808.00  8938.7QUASI(C)
 1808.01 16389.2SI II
 1809.00  9008.7QUASI(C)
 1810.00  9079.3QUASI(C)
 1811.00  9150.4QUASI(C)
 1812.00  9222.1QUASI(C)
 1813.00  9294.4QUASI(C)
 1814.00  9367.2QUASI(C)
 1815.00  9440.6QUASI(C)
 1816.00  9514.5QUASI(C)
 1817.00  9589.1QUASI(C)
 1817.42 49423.7SI II
 1818.00  9664.2QUASI(C)
 1819.00  9739.9QUASI(C)
 1820.00  9816.2QUASI(C)
 1821.00  9893.1QUASI(C)
 1822.00  9970.6QUASI(C)
 1823.00 10048.7QUASI(C)
 1824.00 10127.5QUASI(C)
 1825.00 10206.8QUASI(C)
 1826.00 10286.8QUASI(C)
 1827.00 10367.4QUASI(C)
 1828.00 10448.6QUASI(C)
 1829.00 10530.5QUASI(C)
 1830.00 10613.0QUASI(C)
 1831.00 10696.1QUASI(C)
 1832.00 10779.9QUASI(C)
 1833.00 10864.4QUASI(C)
 1834.00 10949.5QUASI(C)
 1835.00 11035.3QUASI(C)
 1836.00 11121.7QUASI(C)
 1837.00 11208.9QUASI(C)
 1838.00 11296.7QUASI(C)
 1839.00 11385.2QUASI(C)
 1840.00 11474.4QUASI(C)
 1841.00 11564.3QUASI(C)
 1842.00 11654.9QUASI(C)
 1843.00 11746.2QUASI(C)
 1844.00 11838.2QUASI(C)
 1845.00 11931.0QUASI(C)
 1846.00 12024.4QUASI(C)
 1847.00 12118.6QUASI(C)
 1848.00 12213.6QUASI(C)
 1849.00 12309.3QUASI(C)
 1850.00 12405.7QUASI(C)
 1851.00 12502.9QUASI(C)
 1852.00 12600.9QUASI(C)
 1853.00 12699.6QUASI(C)
 1854.00 12799.1QUASI(C)
 1855.00 12899.3QUASI(C)
 1856.00 13000.4QUASI(C)
 1857.00 13102.3QUASI(C)
 1858.00 13204.9QUASI(C)
 1859.00 13308.4QUASI(C)
 1860.00 13412.6QUASI(C)
 1861.00 13517.7QUASI(C)
 1862.00 13623.6QUASI(C)
 1863.00 13730.4QUASI(C)
 1864.00 13837.9QUASI(C)
 1865.00 13946.3QUASI(C)
 1866.00 14055.6QUASI(C)
 1867.00 14165.7QUASI(C)
 1868.00 14276.7QUASI(C)
 1869.00 14388.5QUASI(C)
 1870.00 14501.3QUASI(C)
 1871.00 14614.9QUASI(C)
 1872.00 14729.4QUASI(C)
 1873.00 14844.8QUASI(C)
 1874.00 14961.1QUASI(C)
 1875.00 15078.3QUASI(C)
 1876.00 15196.4QUASI(C)
 1877.00 15315.5QUASI(C)
 1878.00 15435.5QUASI(C)
 1879.00 15556.4QUASI(C)
 1880.00 15678.3QUASI(C)
 1881.00 15801.1QUASI(C)
 1882.00 15924.9QUASI(C)
 1883.00 16049.7QUASI(C)
 1884.00 16175.4QUASI(C)
 1885.00 16302.1QUASI(C)
 1886.00 16429.9QUASI(C)
 1887.00 16558.6QUASI(C)
 1888.00 16688.3QUASI(C)
 1889.00 16819.1QUASI(C)
 1890.00 16950.8QUASI(C)
 1891.00 17083.6QUASI(C)
 1892.00 17217.5QUASI(C)
 1893.00 17352.4QUASI(C)
 1894.00 17488.3QUASI(C)
 1895.00 17625.3QUASI(C)
 1896.00 17763.4QUASI(C)
 1897.00 17902.6QUASI(C)
 1898.00 18042.8QUASI(C)
 1899.00 18184.2QUASI(C)
 1900.00 18326.7QUASI(C)
 1901.00 18470.2QUASI(C)
 1902.00 18615.0QUASI(C)
 1903.00 18760.8QUASI(C)
 1904.00 18907.8QUASI(C)
 1905.00 19055.9QUASI(C)
 1906.00 19205.2QUASI(C)
 1907.00 19355.6QUASI(C)
 1908.00 19507.3QUASI(C)
 1909.00 19660.1QUASI(C)
 1910.00 19814.2QUASI(C)
 1911.00 19969.4QUASI(C)
 1912.00 20125.8QUASI(C)
 1913.00 20283.5QUASI(C)
 1914.00 20442.4QUASI(C)
 1915.00 20602.6QUASI(C)
 1916.00 20764.0QUASI(C)
 1917.00 20926.7QUASI(C)
 1918.00 21090.6QUASI(C)
 1919.00 21255.8QUASI(C)
 1920.00 21422.4QUASI(C)
 1921.00 21590.2QUASI(C)
 1922.00 21759.4QUASI(C)
 1923.00 21929.8QUASI(C)
 1924.00 22101.7QUASI(C)
 1925.00 22274.8QUASI(C)
 1926.00 22449.3QUASI(C)
 1927.00 22625.2QUASI(C)
 1928.00 22802.5QUASI(C)
 1929.00 22981.1QUASI(C)
 1930.00 23161.1QUASI(C)
 1931.00 23342.6QUASI(C)
 1932.00 23525.5QUASI(C)
 1933.00 23709.8QUASI(C)
 1934.00 23895.6QUASI(C)
 1935.00 24082.8QUASI(C)
 1936.00 24271.5QUASI(C)
 1937.00 24461.6QUASI(C)
 1938.00 24653.2QUASI(C)
 1939.00 24846.4QUASI(C)
 1940.00 25041.1QUASI(C)
 1941.00 25237.2QUASI(C)
 1942.00 25435.0QUASI(C)
 1943.00 25634.2QUASI(C)
 1944.00 25835.1QUASI(C)
 1945.00 26037.5QUASI(C)
 1946.00 26241.5QUASI(C)
 1947.00 26447.1QUASI(C)
 1948.00 26654.3QUASI(C)
 1949.00 26863.1QUASI(C)
 1950.00 27073.5QUASI(C)
 1951.00 27285.6QUASI(C)
 1952.00 27499.4QUASI(C)
 1953.00 27714.8QUASI(C)
 1954.00 27932.0QUASI(C)
 1955.00 28150.8QUASI(C)
 1956.00 28371.4QUASI(C)
 1957.00 28593.6QUASI(C)
 1958.00 28817.7QUASI(C)
 1959.00 29043.4QUASI(C)
 1960.00 29271.0QUASI(C)
 1961.00 29500.3QUASI(C)
 1962.00 29731.4QUASI(C)
 1963.00 29964.3QUASI(C)
 1964.00 30199.1QUASI(C)
 1965.00 30435.7QUASI(C)
 1966.00 30674.1QUASI(C)
 1967.00 30914.5QUASI(C)
 1968.00 31156.7QUASI(C)
 1969.00 31400.8QUASI(C)
 1970.00 31646.8QUASI(C)
 1971.00 31894.7QUASI(C)
 1972.00 32144.6QUASI(C)
 1973.00 32396.4QUASI(C)
 1974.00 32650.2QUASI(C)
 1975.00 32906.0QUASI(C)
 1976.00 33163.8QUASI(C)
 1977.00 33423.7QUASI(C)
 1978.00 33685.5QUASI(C)
 1979.00 33949.5QUASI(C)
 1980.00 34215.4QUASI(C)
 1981.00 34483.5QUASI(C)
 1982.00 34753.7QUASI(C)
 1983.00 35025.9QUASI(C)
 1984.00 35300.4QUASI(C)
 1985.00 35576.9QUASI(C)
 1986.00 35855.6QUASI(C)
 1987.00 36136.6QUASI(C)
 1988.00 36419.7QUASI(C)
 1989.00 36705.0QUASI(C)
 1990.00 36992.6QUASI(C)
 1991.00 37282.4QUASI(C)
 1992.00 37574.5QUASI(C)
 1993.00 37868.9QUASI(C)
 1994.00 38165.5QUASI(C)
 1995.00 38464.5QUASI(C)
 1996.00 38765.9QUASI(C)
 1997.00 39069.6QUASI(C)
 1998.00 39375.7QUASI(C)
 1999.00 39684.2QUASI(C)
 2000.00 39995.1QUASI(C)
    0.00    -0.0
 75036 1959
